stats_g/mean,test/success_rate,train/episode,stats_o/mean,stats_g/std,time,train/success_rate,epoch,test/mean_Q,stats_o/std,test/episode
0.84433275,0.0,100.0,0.20330858,0.07263277,0:00:36.253114,0.04,0,-2.5420787,0.048518315,20.0
0.8461435,0.15,200.0,0.2037145,0.07065264,0:01:14.642910,0.1,1,-3.7153478,0.045169573,40.0
0.8428666,0.0,300.0,0.20305802,0.06971375,0:01:56.029478,0.09,2,-6.3906274,0.04664356,60.0
0.8408001,0.05,400.0,0.20237519,0.069554724,0:02:37.969800,0.07,3,-8.056326,0.046152916,80.0
0.8407984,0.05,500.0,0.20214953,0.06985425,0:03:19.882101,0.08,4,-9.664419,0.04640629,100.0
